==7979== NVPROF is profiling process 7979, command: ./bfs ../../data/bfs/graph1MW_6.txt
==7979== Profiling application: ./bfs ../../data/bfs/graph1MW_6.txt
==7979== Profiling result:
"Time(%)","Time","Calls","Avg","Min","Max","Name"
%,ms,,us,us,ms,
54.748074,15.276879,18,848.715000,1.856000,10.407371,"[CUDA memcpy HtoD]"
36.150618,10.087453,12,840.621000,94.071000,4.808676,"Kernel(Node*, int*, bool*, bool*, bool*, int*, int)"
4.726928,1.319000,12,109.916000,100.835000,0.123278,"Kernel2(bool*, bool*, bool*, bool*, int)"
4.374380,1.220625,13,93.894000,1.567000,1.200690,"[CUDA memcpy DtoH]"

==7979== System profiling result:
"","Device","Count","Avg","Min","Max"
"SM Clock (MHz)","Quadro 6000 (0)",4,885.500000,101.000000,1147.000000
"Memory Clock (MHz)","Quadro 6000 (0)",4,1154.250000,135.000000,1494.000000
"Temperature (C)","Quadro 6000 (0)",8,77.000000,76.000000,78.000000
"Fan (%)","Quadro 6000 (0)",4,30.000000,30.000000,30.000000

==7979== API calls:
"Time(%)","Time","Calls","Avg","Min","Max","Name"
%,ms,,ms,us,ms,
72.030810,81.765773,7,11.680824,293.123000,79.830961,"cudaMalloc"
26.115403,29.644900,31,0.956287,11.873000,10.569361,"cudaMemcpy"
0.665771,0.755750,83,9.105000e-03,0.628000,0.320571,"cuDeviceGetAttribute"
0.551828,0.626407,6,0.104401,84.717000,0.192971,"cudaFree"
0.335998,0.381408,24,0.015892,12.292000,0.056432,"cudaLaunch"
0.117027,0.132843,144,9.220000e-04,0.768000,8.451000e-03,"cudaSetupArgument"
0.091367,0.103715,1,0.103715,103.715000,0.103715,"cuDeviceTotalMem"
0.059619,0.067676,1,0.067676,67.676000,0.067676,"cuDeviceGetName"
0.024056,0.027307,24,1.137000e-03,0.977000,2.934000e-03,"cudaConfigureCall"
0.003261,3.702000e-03,1,3.702000e-03,3.702000,3.702000e-03,"cuDeviceGetPCIBusId"
0.002523,2.864000e-03,2,1.432000e-03,1.257000,1.607000e-03,"cuDeviceGetCount"
0.002338,2.654000e-03,2,1.327000e-03,1.047000,1.607000e-03,"cuDeviceGet"
==8127== NVPROF is profiling process 8127, command: ./bfs ../../data/bfs/graph1MW_6.txt
==8127== Profiling application: ./bfs ../../data/bfs/graph1MW_6.txt
==8127== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
ms,ms,,,,,,,,B,B,MB,GB/s,,,,
210.969256,2.976589,,,,,,,,,,7.629395,2.503060,"Quadro 6000 (0)","1","7","[CUDA memcpy HtoD]"
214.498592,9.183582,,,,,,,,,,22.888069,2.433868,"Quadro 6000 (0)","1","7","[CUDA memcpy HtoD]"
224.207658,0.182745,,,,,,,,,,0.953674,5.096296,"Quadro 6000 (0)","1","7","[CUDA memcpy HtoD]"
224.850449,0.182745,,,,,,,,,,0.953674,5.096296,"Quadro 6000 (0)","1","7","[CUDA memcpy HtoD]"
225.488473,0.183353,,,,,,,,,,0.953674,5.079396,"Quadro 6000 (0)","1","7","[CUDA memcpy HtoD]"
231.429972,1.422185,,,,,,,,,,3.814697,2.619413,"Quadro 6000 (0)","1","7","[CUDA memcpy HtoD]"
233.124947,2.720000e-03,,,,,,,,,,9.536743e-07,3.423980e-04,"Quadro 6000 (0)","1","7","[CUDA memcpy HtoD]"
233.183063,0.094513,1954,1,1,512,1,1,15,0,0,,,"Quadro 6000 (0)","1","7","Kernel(Node*, int*, bool*, bool*, bool*, int*, int) [112]"
233.279345,0.101047,1954,1,1,512,1,1,12,0,0,,,"Quadro 6000 (0)","1","7","Kernel2(bool*, bool*, bool*, bool*, int) [119]"
233.383817,2.016000e-03,,,,,,,,,,9.536743e-07,4.619656e-04,"Quadro 6000 (0)","1","7","[CUDA memcpy DtoH]"
233.406984,1.888000e-03,,,,,,,,,,9.536743e-07,4.932853e-04,"Quadro 6000 (0)","1","7","[CUDA memcpy HtoD]"
233.433908,0.096715,1954,1,1,512,1,1,15,0,0,,,"Quadro 6000 (0)","1","7","Kernel(Node*, int*, bool*, bool*, bool*, int*, int) [130]"
233.532361,0.100869,1954,1,1,512,1,1,12,0,0,,,"Quadro 6000 (0)","1","7","Kernel2(bool*, bool*, bool*, bool*, int) [137]"
233.636575,2.016000e-03,,,,,,,,,,9.536743e-07,4.619656e-04,"Quadro 6000 (0)","1","7","[CUDA memcpy DtoH]"
233.658014,1.920000e-03,,,,,,,,,,9.536743e-07,4.850638e-04,"Quadro 6000 (0)","1","7","[CUDA memcpy HtoD]"
233.684459,0.096995,1954,1,1,512,1,1,15,0,0,,,"Quadro 6000 (0)","1","7","Kernel(Node*, int*, bool*, bool*, bool*, int*, int) [148]"
233.783205,0.101767,1954,1,1,512,1,1,12,0,0,,,"Quadro 6000 (0)","1","7","Kernel2(bool*, bool*, bool*, bool*, int) [155]"
233.888277,1.600000e-03,,,,,,,,,,9.536743e-07,5.820766e-04,"Quadro 6000 (0)","1","7","[CUDA memcpy DtoH]"
233.908981,1.887000e-03,,,,,,,,,,9.536743e-07,4.935467e-04,"Quadro 6000 (0)","1","7","[CUDA memcpy HtoD]"
233.935370,0.111837,1954,1,1,512,1,1,15,0,0,,,"Quadro 6000 (0)","1","7","Kernel(Node*, int*, bool*, bool*, bool*, int*, int) [166]"
234.048983,0.103678,1954,1,1,512,1,1,12,0,0,,,"Quadro 6000 (0)","1","7","Kernel2(bool*, bool*, bool*, bool*, int) [173]"
234.155979,1.600000e-03,,,,,,,,,,9.536743e-07,5.820766e-04,"Quadro 6000 (0)","1","7","[CUDA memcpy DtoH]"
234.176682,1.888000e-03,,,,,,,,,,9.536743e-07,4.932853e-04,"Quadro 6000 (0)","1","7","[CUDA memcpy HtoD]"
234.202527,0.148693,1954,1,1,512,1,1,15,0,0,,,"Quadro 6000 (0)","1","7","Kernel(Node*, int*, bool*, bool*, bool*, int*, int) [184]"
234.353067,0.110912,1954,1,1,512,1,1,12,0,0,,,"Quadro 6000 (0)","1","7","Kernel2(bool*, bool*, bool*, bool*, int) [191]"
234.467231,1.600000e-03,,,,,,,,,,9.536743e-07,5.820766e-04,"Quadro 6000 (0)","1","7","[CUDA memcpy DtoH]"
234.487902,1.888000e-03,,,,,,,,,,9.536743e-07,4.932853e-04,"Quadro 6000 (0)","1","7","[CUDA memcpy HtoD]"
234.514340,0.230399,1954,1,1,512,1,1,15,0,0,,,"Quadro 6000 (0)","1","7","Kernel(Node*, int*, bool*, bool*, bool*, int*, int) [202]"
234.746508,0.115543,1954,1,1,512,1,1,12,0,0,,,"Quadro 6000 (0)","1","7","Kernel2(bool*, bool*, bool*, bool*, int) [209]"
234.865328,1.568000e-03,,,,,,,,,,9.536743e-07,5.939557e-04,"Quadro 6000 (0)","1","7","[CUDA memcpy DtoH]"
234.887343,1.920000e-03,,,,,,,,,,9.536743e-07,4.850638e-04,"Quadro 6000 (0)","1","7","[CUDA memcpy HtoD]"
234.914247,0.563849,1954,1,1,512,1,1,15,0,0,,,"Quadro 6000 (0)","1","7","Kernel(Node*, int*, bool*, bool*, bool*, int*, int) [220]"
235.479860,0.122608,1954,1,1,512,1,1,12,0,0,,,"Quadro 6000 (0)","1","7","Kernel2(bool*, bool*, bool*, bool*, int) [227]"
235.605683,1.600000e-03,,,,,,,,,,9.536743e-07,5.820766e-04,"Quadro 6000 (0)","1","7","[CUDA memcpy DtoH]"
235.626258,1.888000e-03,,,,,,,,,,9.536743e-07,4.932853e-04,"Quadro 6000 (0)","1","7","[CUDA memcpy HtoD]"
235.652559,1.923150,1954,1,1,512,1,1,15,0,0,,,"Quadro 6000 (0)","1","7","Kernel(Node*, int*, bool*, bool*, bool*, int*, int) [238]"
237.577488,0.122743,1954,1,1,512,1,1,12,0,0,,,"Quadro 6000 (0)","1","7","Kernel2(bool*, bool*, bool*, bool*, int) [245]"
237.703490,1.600000e-03,,,,,,,,,,9.536743e-07,5.820766e-04,"Quadro 6000 (0)","1","7","[CUDA memcpy DtoH]"
237.724034,1.920000e-03,,,,,,,,,,9.536743e-07,4.850638e-04,"Quadro 6000 (0)","1","7","[CUDA memcpy HtoD]"
237.749881,4.841256,1954,1,1,512,1,1,15,0,0,,,"Quadro 6000 (0)","1","7","Kernel(Node*, int*, bool*, bool*, bool*, int*, int) [256]"
242.592963,0.122270,1954,1,1,512,1,1,12,0,0,,,"Quadro 6000 (0)","1","7","Kernel2(bool*, bool*, bool*, bool*, int) [263]"
242.718497,1.568000e-03,,,,,,,,,,9.536743e-07,5.939557e-04,"Quadro 6000 (0)","1","7","[CUDA memcpy DtoH]"
242.740512,1.920000e-03,,,,,,,,,,9.536743e-07,4.850638e-04,"Quadro 6000 (0)","1","7","[CUDA memcpy HtoD]"
242.766802,1.685179,1954,1,1,512,1,1,15,0,0,,,"Quadro 6000 (0)","1","7","Kernel(Node*, int*, bool*, bool*, bool*, int*, int) [274]"
244.453742,0.115371,1954,1,1,512,1,1,12,0,0,,,"Quadro 6000 (0)","1","7","Kernel2(bool*, bool*, bool*, bool*, int) [281]"
244.572378,1.632000e-03,,,,,,,,,,9.536743e-07,5.706633e-04,"Quadro 6000 (0)","1","7","[CUDA memcpy DtoH]"
244.594265,1.888000e-03,,,,,,,,,,9.536743e-07,4.932853e-04,"Quadro 6000 (0)","1","7","[CUDA memcpy HtoD]"
244.622976,0.227882,1954,1,1,512,1,1,15,0,0,,,"Quadro 6000 (0)","1","7","Kernel(Node*, int*, bool*, bool*, bool*, int*, int) [292]"
244.852624,0.101292,1954,1,1,512,1,1,12,0,0,,,"Quadro 6000 (0)","1","7","Kernel2(bool*, bool*, bool*, bool*, int) [299]"
244.957227,1.600000e-03,,,,,,,,,,9.536743e-07,5.820766e-04,"Quadro 6000 (0)","1","7","[CUDA memcpy DtoH]"
244.979434,1.888000e-03,,,,,,,,,,9.536743e-07,4.932853e-04,"Quadro 6000 (0)","1","7","[CUDA memcpy HtoD]"
245.008016,0.095067,1954,1,1,512,1,1,15,0,0,,,"Quadro 6000 (0)","1","7","Kernel(Node*, int*, bool*, bool*, bool*, int*, int) [310]"
