==5993== NVPROF is profiling process 5993, command: ./pathfinder 100000 1000 20
==5993== Profiling application: ./pathfinder 100000 1000 20
==5993== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,ms,,,,,,,,B,KB,MB,GB/s,,,,
485.551710,0.074429,,,,,,,,,,0.381470,5.005160,"Quadro 6000 (0)","1","7","[CUDA memcpy HtoD]"
485.552809,150.323259,,,,,,,,,,381.088257,2.475708,"Quadro 6000 (0)","1","7","[CUDA memcpy HtoD]"
485.703134,0.202674,463,1,1,256,1,1,15,2.048000e+03,0.000000,,,"Quadro 6000 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [105]"
485.703338,0.201960,463,1,1,256,1,1,15,2.048000e+03,0.000000,,,"Quadro 6000 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [115]"
485.703541,0.200884,463,1,1,256,1,1,15,2.048000e+03,0.000000,,,"Quadro 6000 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [125]"
485.703744,0.201735,463,1,1,256,1,1,15,2.048000e+03,0.000000,,,"Quadro 6000 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [135]"
485.703947,0.201319,463,1,1,256,1,1,15,2.048000e+03,0.000000,,,"Quadro 6000 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [145]"
485.704149,0.201721,463,1,1,256,1,1,15,2.048000e+03,0.000000,,,"Quadro 6000 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [155]"
485.704352,0.202317,463,1,1,256,1,1,15,2.048000e+03,0.000000,,,"Quadro 6000 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [165]"
485.704556,0.201935,463,1,1,256,1,1,15,2.048000e+03,0.000000,,,"Quadro 6000 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [175]"
485.704759,0.199643,463,1,1,256,1,1,15,2.048000e+03,0.000000,,,"Quadro 6000 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [185]"
485.704961,0.202099,463,1,1,256,1,1,15,2.048000e+03,0.000000,,,"Quadro 6000 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [195]"
485.705164,0.201204,463,1,1,256,1,1,15,2.048000e+03,0.000000,,,"Quadro 6000 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [205]"
485.705367,0.201005,463,1,1,256,1,1,15,2.048000e+03,0.000000,,,"Quadro 6000 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [215]"
485.705569,0.200257,463,1,1,256,1,1,15,2.048000e+03,0.000000,,,"Quadro 6000 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [225]"
485.705771,0.202490,463,1,1,256,1,1,15,2.048000e+03,0.000000,,,"Quadro 6000 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [235]"
485.705974,0.201599,463,1,1,256,1,1,15,2.048000e+03,0.000000,,,"Quadro 6000 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [245]"
485.706177,0.201540,463,1,1,256,1,1,15,2.048000e+03,0.000000,,,"Quadro 6000 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [255]"
485.706380,0.200677,463,1,1,256,1,1,15,2.048000e+03,0.000000,,,"Quadro 6000 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [265]"
485.706582,0.201624,463,1,1,256,1,1,15,2.048000e+03,0.000000,,,"Quadro 6000 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [275]"
485.706785,0.200628,463,1,1,256,1,1,15,2.048000e+03,0.000000,,,"Quadro 6000 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [285]"
485.706987,0.201580,463,1,1,256,1,1,15,2.048000e+03,0.000000,,,"Quadro 6000 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [295]"
485.707190,0.200798,463,1,1,256,1,1,15,2.048000e+03,0.000000,,,"Quadro 6000 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [305]"
485.707393,0.200593,463,1,1,256,1,1,15,2.048000e+03,0.000000,,,"Quadro 6000 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [315]"
485.707595,0.201081,463,1,1,256,1,1,15,2.048000e+03,0.000000,,,"Quadro 6000 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [325]"
485.707797,0.201467,463,1,1,256,1,1,15,2.048000e+03,0.000000,,,"Quadro 6000 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [335]"
485.708000,0.201452,463,1,1,256,1,1,15,2.048000e+03,0.000000,,,"Quadro 6000 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [345]"
485.708203,0.200060,463,1,1,256,1,1,15,2.048000e+03,0.000000,,,"Quadro 6000 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [355]"
485.708404,0.201216,463,1,1,256,1,1,15,2.048000e+03,0.000000,,,"Quadro 6000 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [365]"
485.708607,0.201118,463,1,1,256,1,1,15,2.048000e+03,0.000000,,,"Quadro 6000 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [375]"
485.708809,0.202076,463,1,1,256,1,1,15,2.048000e+03,0.000000,,,"Quadro 6000 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [385]"
485.709013,0.201796,463,1,1,256,1,1,15,2.048000e+03,0.000000,,,"Quadro 6000 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [395]"
485.709216,0.201953,463,1,1,256,1,1,15,2.048000e+03,0.000000,,,"Quadro 6000 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [405]"
485.709419,0.201738,463,1,1,256,1,1,15,2.048000e+03,0.000000,,,"Quadro 6000 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [415]"
485.709622,0.201324,463,1,1,256,1,1,15,2.048000e+03,0.000000,,,"Quadro 6000 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [425]"
485.709825,0.202585,463,1,1,256,1,1,15,2.048000e+03,0.000000,,,"Quadro 6000 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [435]"
485.710029,0.201858,463,1,1,256,1,1,15,2.048000e+03,0.000000,,,"Quadro 6000 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [445]"
