==8382== NVPROF is profiling process 8382, command: ./pathfinder 100000 1000 20
==8382== Profiling application: ./pathfinder 100000 1000 20
==8382== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,ms,,,,,,,,B,KB,MB,GB/s,,,,
475.921512,0.132353,,,,,,,,,,0.381470,2.814663,"GeForce GT 630 (0)","1","7","[CUDA memcpy HtoD]"
475.923049,326.050423,,,,,,,,,,381.088257,1.141408,"GeForce GT 630 (0)","1","7","[CUDA memcpy HtoD]"
476.249105,0.938727,463,1,1,256,1,1,17,2.048000e+03,0.000000,,,"GeForce GT 630 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [105]"
476.250046,0.897765,463,1,1,256,1,1,17,2.048000e+03,0.000000,,,"GeForce GT 630 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [115]"
476.250946,0.847302,463,1,1,256,1,1,17,2.048000e+03,0.000000,,,"GeForce GT 630 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [125]"
476.251796,0.815845,463,1,1,256,1,1,17,2.048000e+03,0.000000,,,"GeForce GT 630 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [135]"
476.252614,0.835174,463,1,1,256,1,1,17,2.048000e+03,0.000000,,,"GeForce GT 630 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [145]"
476.253452,0.837157,463,1,1,256,1,1,17,2.048000e+03,0.000000,,,"GeForce GT 630 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [155]"
476.254292,0.818213,463,1,1,256,1,1,17,2.048000e+03,0.000000,,,"GeForce GT 630 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [165]"
476.255112,0.912166,463,1,1,256,1,1,17,2.048000e+03,0.000000,,,"GeForce GT 630 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [175]"
476.256027,0.862310,463,1,1,256,1,1,17,2.048000e+03,0.000000,,,"GeForce GT 630 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [185]"
476.256892,0.886085,463,1,1,256,1,1,17,2.048000e+03,0.000000,,,"GeForce GT 630 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [195]"
476.257780,0.884774,463,1,1,256,1,1,17,2.048000e+03,0.000000,,,"GeForce GT 630 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [205]"
476.258667,0.866566,463,1,1,256,1,1,17,2.048000e+03,0.000000,,,"GeForce GT 630 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [215]"
476.259536,0.865349,463,1,1,256,1,1,17,2.048000e+03,0.000000,,,"GeForce GT 630 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [225]"
476.260404,0.855622,463,1,1,256,1,1,17,2.048000e+03,0.000000,,,"GeForce GT 630 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [235]"
476.261262,0.860261,463,1,1,256,1,1,17,2.048000e+03,0.000000,,,"GeForce GT 630 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [245]"
476.262125,0.871910,463,1,1,256,1,1,17,2.048000e+03,0.000000,,,"GeForce GT 630 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [255]"
476.262999,0.869382,463,1,1,256,1,1,17,2.048000e+03,0.000000,,,"GeForce GT 630 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [265]"
476.263871,0.844197,463,1,1,256,1,1,17,2.048000e+03,0.000000,,,"GeForce GT 630 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [275]"
476.264717,0.845318,463,1,1,256,1,1,17,2.048000e+03,0.000000,,,"GeForce GT 630 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [285]"
476.265565,0.883301,463,1,1,256,1,1,17,2.048000e+03,0.000000,,,"GeForce GT 630 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [295]"
476.266451,0.964167,463,1,1,256,1,1,17,2.048000e+03,0.000000,,,"GeForce GT 630 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [305]"
476.267417,0.858565,463,1,1,256,1,1,17,2.048000e+03,0.000000,,,"GeForce GT 630 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [315]"
476.268279,0.817125,463,1,1,256,1,1,17,2.048000e+03,0.000000,,,"GeForce GT 630 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [325]"
476.269098,0.821510,463,1,1,256,1,1,17,2.048000e+03,0.000000,,,"GeForce GT 630 (0)","1","7","dynproc_kernel(int, int*, int*, int*, int, int, int, int) [335]"
