==19412== NVPROF is profiling process 19412, command: ./nn filelist_4 -r 5 -lat 30 -lng 90,,,,,,,,,,,,,,,
==19412== Profiling application: ./nn filelist_4 -r 5 -lat 30 -lng 90,,,,,,,,,,,,,,,,
==19412== Profiling result:,,,,,,,,,,,,,,,,
Start,Duration,Grid X,Grid Y,Grid Z,Block X,Block Y,Block Z,Registers Per Thread,Static SMem,Dynamic SMem,Size,Throughput,Device,Context,Stream,Name
ms,us,,,,,,,,B,B,KB,GB/s,,,,
157.544515,28.992,,,,,,,,,,334.09375,10.989812,GeForce GTX 650 (0),1,7,[CUDA memcpy HtoD]
157.580675,14.496,168,1,1,256,1,1,10,0,0,,,GeForce GTX 650 (0),1,7,"euclid(latLong*, float*, int, float, float) [103]"
157.606371,15.136,,,,,,,,,,167.046875,10.525126,GeForce GTX 650 (0),1,7,[CUDA memcpy DtoH]
==19632== NVPROF is profiling process 19632, command: ./nn filelist_4 -r 5 -lat 30 -lng 90,,,,,,,,,,,,,,,
==19632== Profiling application: ./nn filelist_4 -r 5 -lat 30 -lng 90,,,,,,,,,,,,,,,,
==19632== Profiling result:,,,,,,,,,,,,,,,,
Time(%),Time,Calls,Avg,Min,Max,Name,,,,,,,,,,
%,us,,us,us,us,,,,,,,,,,,
49.591726,29.152,1,29.152,29.152,29.152,[CUDA memcpy HtoD],,,,,,,,,,
25.748503,15.136,1,15.136,15.136,15.136,[CUDA memcpy DtoH],,,,,,,,,,
24.659771,14.496,1,14.496,14.496,14.496,"euclid(latLong*, float*, int, float, float)",,,,,,,,,,
,58.784,,,,,,,,,,,,,,,
==19632== System profiling result:,,,,,,,,,,,,,,,,
,Device,Count,Avg,Min,Max,,,,,,,,,,,
Temperature (C),GeForce GTX 650 (0),1,36,36,36,,,,,,,,,,,
Fan (%),GeForce GTX 650 (0),1,21,21,21,,,,,,,,,,,
,,,,,,,,,,,,,,,,
==19632== API calls:,,,,,,,,,,,,,,,,
Time(%),Time,Calls,Avg,Min,Max,Name,,,,,,,,,,
%,ms,,ms,us,ms,,,,,,,,,,,
96.718294,41.629048,3,13.876349,1.581,41.610074,cudaThreadSynchronize,,,,,,,,,,
1.04614,0.450275,83,5.43E-03,0.094,0.218742,cuDeviceGetAttribute,,,,,,,,,,
0.665122,0.286279,1,0.286279,286.279,0.286279,cudaGetDeviceProperties,,,,,,,,,,
0.36764,0.158238,2,0.079119,75.277,0.082961,cudaMalloc,,,,,,,,,,
0.332995,0.143326,2,0.071663,56.419,0.086907,cudaMemcpy,,,,,,,,,,
0.299285,0.128817,2,0.064408,49.056,0.079761,cudaFree,,,,,,,,,,
0.275432,0.11855,1,0.11855,118.55,0.11855,cuDeviceTotalMem,,,,,,,,,,
0.10925,0.047023,1,0.047023,47.023,0.047023,cudaMemGetInfo,,,,,,,,,,
0.097757,0.042076,1,0.042076,42.076,0.042076,cuDeviceGetName,,,,,,,,,,
0.071254,0.030669,1,0.030669,30.669,0.030669,cudaLaunch,,,,,,,,,,
0.005794,2.49E-03,1,2.49E-03,2.494,2.49E-03,cuDeviceGetPCIBusId,,,,,,,,,,
0.003852,1.66E-03,2,8.29E-04,0.206,1.45E-03,cuDeviceGetCount,,,,,,,,,,
0.003355,1.44E-03,5,2.88E-04,0.124,6.78E-04,cudaSetupArgument,,,,,,,,,,
0.002377,1.02E-03,1,1.02E-03,1.023,1.02E-03,cudaConfigureCall,,,,,,,,,,
0.001452,6.25E-04,2,3.12E-04,0.144,4.81E-04,cuDeviceGet,,,,,,,,,,
,43.041545,,,,,,,,,,,,,,,
